STRUCTURED	40
REMAINING	31
DDB-ATK-CORE-001	Aftermarket Uppercut	ZONE=High	TAGS=Attack,Hand,Market	RULES=If you bought a card during your last Ascend, this Attack may be declared as Mid instead.
DDB-ATK-CORE-003	Ankle Invoice	ZONE=Low	TAGS=Kick,Leg,Anti-Armor	RULES=On Hit, choose one matching Armor or Gear card on the target. It provides 2 less DEF until end of turn.
DDB-ATK-CORE-004	Axe Kick	ZONE=Low	TAGS=Kick,Leg	RULES=If the defender plays a Defense card, this Attack gets +1 Attack Power after Defense is built.
DDB-ATK-CORE-006	Backfist	ZONE=High	TAGS=Hand	RULES=If you played a Defense since your last turn, this Attack gets +1 Attack Power.
DDB-ATK-CORE-008	Budget-Cut Backfist	ZONE=High	TAGS=Attack,Hand,Focus	RULES=If you spent Focus on a card earlier this turn, gain 1 Focus after this resolves.
DDB-ATK-CORE-010	Certified Palm Stamp	ZONE=High	TAGS=Attack,High,Belt Exam,Focus	RULES=If you completed a Belt Exam task this round, this Attack gets +2 Attack Power. If it is your first normal Attack this turn and it Hits, gain 1 Focus.
DDB-ATK-CORE-011	Courtesy-Counter Knee	ZONE=Mid	TAGS=Attack,Knee,Block	RULES=If you Blocked since your last turn, this Attack gets +1 Attack Power.
DDB-ATK-CORE-012	Courtesy-Notice Knee	ZONE=Mid	TAGS=Attack,Mid,Item,Defense,Guard,Focus	RULES=On Hit, choose one: the target's next Item this round costs 1 more Focus; or the target's next Defense this round gets −1 Guard.
DDB-ATK-CORE-013	Defensive Front Kick	ZONE=Low	TAGS=Kick,Leg,Push,Interrupt	RULES=Reaction — after a Mid or Low Attack targeting you resolves, you may play this card against that attacker. If played this way, it gets +1 Attack Power.
DDB-ATK-CORE-014	Defensive Side Kick	ZONE=Low	TAGS=Kick,Leg,Interrupt	RULES=If you Blocked an Attack this round, this Attack gets +2 Attack Power.
DDB-ATK-CORE-015	Discount Dim Mak	ZONE=Any	TAGS=Spoof	RULES=On Hit, choose one: the target loses Tempo for this round; or gain 1 Focus.
DDB-ATK-CORE-016	Double Punch	ZONE=Mid	TAGS=Punch,Hand,Multi-Hit	RULES=For Combo requirements, this card counts as two consecutive Punch steps. It awards normal Attack XP only once.
DDB-ATK-CORE-020	Fire-Drill Feint	ZONE=Any	TAGS=Attack,Zone,Discard,Defense	RULES=Choose High, Mid, or Low when declared. If the defender commits a Defense that would Block this Attack, you may discard 1 card to change this Attack to one of the other two zones before Defense resolves.
DDB-ATK-CORE-021	Fire-Exit Flying Elbow	ZONE=Mid	TAGS=Attack,Elbow,Location	RULES=If a non-Honor Scene Change occurred this round, draw 1 card, then discard 1 card after this resolves.
DDB-ATK-CORE-024	Flying Spin Crescent Kick	ZONE=Any	TAGS=Kick,Leg,Jump	RULES=Choose its zone when declared. If you played a Jump or Spin Attack earlier this turn, draw 1 card after this resolves.
DDB-ATK-CORE-025	Front Jab	ZONE=High	TAGS=Punch,Hand	RULES=If this is your first Attack this turn, draw 1 card, then discard 1 card.
DDB-ATK-CORE-026	Front Ridgehand	ZONE=High	TAGS=Hand,Open-Hand	RULES=On Hit, the target's matching Armor provides 1 less DEF against your next Attack this turn.
DDB-ATK-CORE-030	Hook Punch	ZONE=Mid	TAGS=Punch,Hand	RULES=If your previous Attack this turn was Blocked, this Attack gets +2 Attack Power.
DDB-ATK-CORE-034	Knifehand Strike	ZONE=Mid	TAGS=Hand,Open-Hand	RULES=On Hit, choose one matching Armor or Gear card on the target. It provides 1 less DEF until end of turn.
DDB-ATK-CORE-039	Overhand Right	ZONE=High	TAGS=Punch,Hand	RULES=If the defender plays no Defense card, this Attack gets +2 Attack Power.
DDB-ATK-CORE-040	Overtime Open-Palm	ZONE=High	TAGS=Attack,Hand,Focus	RULES=If you generated at least 5 Focus this turn, this Attack gets +1 Attack Power.
DDB-ATK-CORE-041	Palm Heel Strike	ZONE=High	TAGS=Hand,Open-Hand	RULES=On Hit, gain 1 Focus. Once per turn.
DDB-ATK-CORE-043	Punch-Clock Uppercut	ZONE=High	TAGS=Attack,High,Kata,Item,Speed	RULES=If the card you played immediately before this was a Kata or Item, this Attack gets +1 Attack Power. If it Hits after you played an Item, the target gets −1 Speed until the next Honor Phase.
DDB-ATK-CORE-044	Question Mark Kick	ZONE=Any	TAGS=Kick,Leg	RULES=After you declare a zone but before a Defense card is played, you may change this Attack to a different zone.
DDB-ATK-CORE-052	Side Kick	ZONE=Low	TAGS=Kick,Leg	RULES=If this is your only Attack this turn, it gets +2 Attack Power.
DDB-ATK-CORE-055	Spinning Elbow	ZONE=High	TAGS=Elbow,Hand,Spin	RULES=If your previous Attack this turn Hit, draw 1 card, then discard 1 card after this resolves.
DDB-ATK-CORE-059	Switching Axe Kick	ZONE=High	TAGS=Kick,Leg	RULES=You may discard 1 card as an additional cost. If you do, this Attack gets +2 Attack Power.
DDB-ATK-CORE-062	Three-Gate Tour	ZONE=Any	TAGS=Attack,Zone,Belt Exam,Draw,Discard	RULES=When you play this Attack, declare High, Mid, or Low for it. If it is the third different zone you have attacked while working on your Yellow Belt Exam, draw 1 card, then discard 1 card.
DDB-ATK-CORE-063	Three-Stamp Roundhouse	ZONE=High	TAGS=Attack,Kick,Belt Exam	RULES=If this completes a requirement of your active Belt Exam, gain 1 Focus after it resolves.
DDB-ATK-CORE-064	Tornado Crescent Kick	ZONE=High	TAGS=Kick,Leg,Spin,Jump	RULES=On Hit, choose one: gain 1 Focus; or draw 1 card, then discard 1 card.
DDB-ATK-CORE-067	Turning Side Kick	ZONE=Mid	TAGS=Kick,Leg,Spin	RULES=If this Attack targets a different zone than your previous Attack this turn, draw 1 card, then discard 1 card.
